TYPE,TRACE,A

DATE & TIME,19Jul2013 08:30PM WETDS
INSTRUMENT,86140B,SN US40460656,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,600.000
STOP,1700.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),10.00
VBW (Hz),2545

REFERENCE LEVEL (dBm),0.00
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-10.68

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1150.000
MARKER AMPLITUDE,-39.196
MARKER UNITS,dBm

INDEX,A
1,-18.367
2,-19.765
3,-20.387
4,-20.011
5,-18.465
6,-21.269
7,-21.608
8,-19.974
9,-22.377
10,-22.819
11,-22.428
12,-23.144
13,-23.119
14,-23.093
15,-20.332
16,-23.043
17,-23.018
18,-22.993
19,-22.969
20,-22.917
21,-22.738
22,-22.565
23,-22.400
24,-20.132
25,-19.822
26,-21.937
27,-21.794
28,-21.074
29,-21.525
30,-17.398
31,-20.470
32,-21.350
33,-18.579
34,-21.237
35,-17.531
36,-19.712
37,-19.977
38,-20.684
39,-20.941
40,-19.571
41,-18.652
42,-20.714
43,-20.641
44,-20.569
45,-19.124
46,-20.428
47,-20.360
48,-20.347
49,-20.342
50,-20.011
51,-16.524
52,-20.326
53,-20.320
54,-20.315
55,-20.309
56,-20.304
57,-18.879
58,-20.124
59,-19.102
60,-20.242
61,-19.263
62,-20.211
63,-18.272
64,-20.180
65,-16.578
66,-17.652
67,-19.583
68,-20.047
69,-18.478
70,-16.810
71,-18.316
72,-18.363
73,-19.846
74,-18.095
75,-19.878
76,-17.228
77,-20.172
78,-18.227
79,-20.488
80,-20.655
81,-20.829
82,-21.010
83,-19.672
84,-21.362
85,-21.497
86,-21.637
87,-21.782
88,-21.931
89,-18.511
90,-22.195
91,-22.413
92,-22.587
93,-21.987
94,-22.615
95,-22.563
96,-21.163
97,-22.461
98,-20.976
99,-22.361
100,-22.312
101,-22.263
102,-22.323
103,-22.613
104,-22.262
105,-22.994
106,-23.620
107,-24.016
108,-24.451
109,-23.066
110,-25.480
111,-25.590
112,-25.955
113,-25.095
114,-24.547
115,-24.759
116,-27.218
117,-27.510
118,-27.641
119,-28.160
120,-28.514
121,-28.825
122,-29.159
123,-27.079
124,-29.917
125,-30.125
126,-30.190
127,-30.256
128,-30.323
129,-26.136
130,-30.181
131,-27.298
132,-27.052
133,-29.641
134,-29.462
135,-29.278
136,-26.957
137,-28.932
138,-27.314
139,-28.721
140,-27.403
141,-27.104
142,-25.523
143,-27.842
144,-28.582
145,-28.589
146,-28.597
147,-24.884
148,-26.007
149,-28.656
150,-26.591
151,-28.711
152,-28.742
153,-28.780
154,-28.819
155,-28.858
156,-28.897
157,-28.928
158,-28.138
159,-28.987
160,-29.017
161,-29.047
162,-25.688
163,-26.632
164,-29.138
165,-29.169
166,-28.832
167,-29.340
168,-29.439
169,-29.540
170,-29.644
171,-29.750
172,-29.604
173,-28.337
174,-28.765
175,-30.197
176,-30.307
177,-30.420
178,-30.535
179,-30.277
180,-30.777
181,-30.903
182,-29.895
183,-31.166
184,-30.179
185,-31.357
186,-31.440
187,-27.969
188,-29.410
189,-30.713
190,-31.790
191,-31.883
192,-31.977
193,-32.053
194,-31.773
195,-32.149
196,-30.712
197,-32.247
198,-32.296
199,-32.347
200,-32.398
201,-32.449
202,-32.507
203,-30.214
204,-32.652
205,-32.726
206,-32.801
207,-32.878
208,-32.956
209,-33.036
210,-33.117
211,-31.515
212,-33.272
213,-33.347
214,-33.424
