TYPE,TRACE,A

DATE & TIME,19Jul2013 08:39PM WETDS
INSTRUMENT,86140B,SN US40460656,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,600.000
STOP,1700.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),10.00
VBW (Hz),2545

REFERENCE LEVEL (dBm),0.00
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-10.68

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1150.000
MARKER AMPLITUDE,-36.226
MARKER UNITS,dBm

INDEX,A
1,-20.040
2,-16.429
3,-19.662
4,-19.624
5,-16.822
6,-21.269
7,-21.608
8,-21.975
9,-22.377
10,-20.485
11,-22.178
12,-21.830
13,-22.875
14,-22.718
15,-23.068
16,-22.198
17,-20.083
18,-22.993
19,-22.969
20,-22.314
21,-22.738
22,-22.565
23,-22.400
24,-21.611
25,-18.886
26,-21.937
27,-21.794
28,-21.655
29,-21.525
30,-20.699
31,-21.408
32,-21.350
33,-20.966
34,-20.659
35,-21.181
36,-21.127
37,-21.072
38,-21.019
39,-17.266
40,-20.864
41,-20.788
42,-20.714
43,-17.742
44,-20.569
45,-20.498
46,-20.428
47,-20.360
48,-20.347
49,-19.562
50,-20.336
51,-20.331
52,-20.326
53,-20.320
54,-20.315
55,-18.136
56,-20.304
57,-20.290
58,-19.977
59,-16.672
60,-20.242
61,-18.915
62,-20.211
63,-17.897
64,-20.180
65,-20.164
66,-19.615
67,-20.088
68,-17.631
69,-20.006
70,-19.966
71,-19.925
72,-19.886
73,-15.888
74,-19.807
75,-19.878
76,-17.447
77,-17.153
78,-20.328
79,-20.488
80,-18.293
81,-19.473
82,-21.010
83,-20.062
84,-20.505
85,-21.349
86,-21.637
87,-21.782
88,-20.603
89,-19.030
90,-22.153
91,-19.747
92,-22.587
93,-22.667
94,-22.615
95,-22.563
96,-22.511
97,-22.461
98,-22.411
99,-19.691
100,-22.312
101,-22.263
102,-22.323
103,-20.221
104,-22.924
105,-23.258
106,-23.620
107,-24.016
108,-22.709
109,-24.935
110,-25.480
111,-23.979
112,-26.058
113,-23.190
114,-26.688
115,-26.186
116,-27.218
117,-26.594
118,-27.823
119,-28.160
120,-28.514
121,-28.825
122,-29.159
123,-29.522
124,-29.917
125,-28.826
126,-30.190
127,-27.772
128,-29.219
129,-30.377
130,-28.342
131,-29.993
132,-29.814
133,-29.641
134,-29.462
135,-29.278
136,-26.215
137,-28.932
138,-28.769
139,-28.721
140,-28.679
141,-26.266
142,-28.595
143,-27.844
144,-28.582
145,-28.537
146,-28.597
147,-28.604
148,-26.327
149,-28.656
150,-28.684
151,-26.796
152,-27.554
153,-26.305
154,-25.780
155,-28.858
156,-28.897
157,-28.928
158,-26.456
159,-27.007
160,-26.660
161,-29.047
162,-28.125
163,-29.107
164,-29.138
165,-29.169
166,-29.244
167,-29.340
168,-29.439
169,-27.547
170,-29.644
171,-29.750
172,-29.859
173,-29.702
174,-30.085
175,-30.197
176,-29.722
177,-28.181
178,-30.535
179,-30.654
180,-30.777
181,-29.399
182,-30.592
183,-29.116
184,-31.275
185,-29.821
186,-29.914
187,-31.525
188,-31.612
189,-31.700
190,-31.790
191,-31.883
192,-31.977
193,-28.278
194,-31.147
195,-32.149
196,-32.197
197,-31.358
198,-31.046
199,-32.347
200,-32.398
201,-32.449
202,-32.507
203,-31.565
204,-32.652
205,-32.726
206,-32.801
207,-32.878
208,-32.956
209,-33.036
210,-33.117
211,-33.197
212,-33.272
213,-30.619
214,-30.122
