TYPE,TRACE,A

DATE & TIME,19Jul2013 08:46PM WETDS
INSTRUMENT,86140B,SN US40460656,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,600.000
STOP,1700.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),10.00
VBW (Hz),2545

REFERENCE LEVEL (dBm),0.00
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-10.68

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1150.000
MARKER AMPLITUDE,-34.402
MARKER UNITS,dBm

INDEX,A
1,-17.022
2,-20.129
3,-20.387
4,-20.662
5,-20.955
6,-19.402
7,-18.870
8,-21.975
9,-22.377
10,-22.819
11,-23.170
12,-23.144
13,-22.342
14,-21.729
15,-19.867
16,-20.546
17,-23.018
18,-22.993
19,-22.969
20,-22.917
21,-22.738
22,-22.565
23,-22.400
24,-22.240
25,-22.086
26,-19.991
27,-21.794
28,-21.285
29,-21.525
30,-21.466
31,-19.989
32,-18.918
33,-21.293
34,-21.237
35,-19.146
36,-21.127
37,-21.072
38,-19.575
39,-20.941
40,-19.032
41,-20.011
42,-20.714
43,-20.641
44,-20.569
45,-20.090
46,-20.428
47,-18.284
48,-20.347
49,-20.342
50,-18.333
51,-20.331
52,-20.326
53,-20.320
54,-20.315
55,-20.309
56,-20.304
57,-20.290
58,-20.274
59,-20.258
60,-20.242
61,-18.275
62,-15.697
63,-20.195
64,-20.180
65,-19.204
66,-20.130
67,-20.088
68,-15.901
69,-16.931
70,-19.966
71,-18.344
72,-19.886
73,-19.846
74,-19.807
75,-19.878
76,-20.023
77,-20.172
78,-20.328
79,-19.793
80,-20.655
81,-18.708
82,-19.958
83,-21.199
84,-21.362
85,-19.926
86,-21.637
87,-21.782
88,-21.931
89,-22.086
90,-22.247
91,-22.413
92,-22.587
93,-22.265
94,-22.615
95,-21.096
96,-22.511
97,-22.461
98,-19.669
99,-21.347
100,-22.312
101,-21.260
102,-21.662
103,-22.613
104,-22.924
105,-23.258
106,-23.620
107,-24.016
108,-24.451
109,-23.722
110,-25.480
111,-25.711
112,-26.215
113,-26.445
114,-26.688
115,-26.945
116,-27.218
117,-27.510
118,-27.823
119,-28.160
120,-25.321
121,-28.825
122,-29.159
123,-29.522
124,-29.917
125,-30.125
126,-30.190
127,-29.736
128,-30.323
129,-30.377
130,-30.181
131,-29.993
132,-27.876
133,-29.641
134,-28.238
135,-29.278
136,-29.102
137,-28.932
138,-28.769
139,-28.021
140,-28.679
141,-27.220
142,-28.595
143,-28.574
144,-28.582
145,-28.589
146,-28.597
147,-28.604
148,-28.496
149,-28.656
150,-26.775
151,-28.711
152,-28.180
153,-27.040
154,-28.819
155,-28.858
156,-28.897
157,-27.021
158,-28.958
159,-28.987
160,-29.017
161,-29.047
162,-29.077
163,-27.512
164,-28.002
165,-29.169
166,-29.244
167,-29.340
168,-29.439
169,-29.540
170,-28.844
171,-29.750
172,-29.859
173,-26.711
174,-29.282
175,-30.197
176,-30.307
177,-30.420
178,-30.535
179,-29.173
180,-30.777
181,-28.232
182,-28.060
183,-28.726
184,-31.275
185,-29.677
186,-30.650
187,-29.258
188,-30.748
189,-31.700
190,-31.790
191,-30.399
192,-31.977
193,-32.053
194,-31.448
195,-32.149
196,-32.197
197,-32.247
198,-32.296
199,-31.455
200,-32.398
201,-32.449
202,-32.507
203,-31.137
204,-32.652
205,-30.658
206,-32.657
207,-32.878
208,-32.613
209,-32.598
210,-31.017
211,-30.488
212,-31.842
213,-33.347
214,-33.424
