TYPE,TRACE,A

DATE & TIME,19Jul2013 08:35PM WETDS
INSTRUMENT,86140B,SN US40460656,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,600.000
STOP,1700.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),10.00
VBW (Hz),2545

REFERENCE LEVEL (dBm),0.00
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-10.68

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1150.000
MARKER AMPLITUDE,-36.885
MARKER UNITS,dBm

INDEX,A
1,-20.040
2,-20.129
3,-18.890
4,-20.662
5,-20.955
6,-21.269
7,-17.584
8,-21.975
9,-22.377
10,-22.524
11,-21.486
12,-23.144
13,-23.119
14,-23.093
15,-23.068
16,-23.043
17,-23.018
18,-22.993
19,-22.969
20,-22.917
21,-21.248
22,-22.565
23,-20.938
24,-17.989
25,-22.086
26,-21.937
27,-21.794
28,-20.392
29,-21.525
30,-18.412
31,-18.769
32,-21.350
33,-21.293
34,-21.237
35,-19.832
36,-21.127
37,-20.187
38,-21.019
39,-20.941
40,-17.824
41,-20.788
42,-20.714
43,-20.641
44,-20.569
45,-20.498
46,-18.839
47,-15.655
48,-19.982
49,-20.342
50,-20.336
51,-19.619
52,-20.326
53,-20.320
54,-20.315
55,-20.309
56,-20.304
57,-19.329
58,-20.274
59,-18.079
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-20.164
66,-18.588
67,-20.088
68,-20.047
69,-20.006
70,-19.966
71,-19.925
72,-17.974
73,-17.143
74,-19.610
75,-19.430
76,-20.023
77,-20.172
78,-20.328
79,-20.488
80,-19.632
81,-20.829
82,-21.010
83,-21.199
84,-21.362
85,-21.497
86,-21.637
87,-21.782
88,-21.931
89,-22.086
90,-22.247
91,-21.260
92,-21.172
93,-20.293
94,-22.615
95,-22.563
96,-20.865
97,-22.461
98,-21.923
99,-22.361
100,-20.137
101,-22.263
102,-22.323
103,-22.613
104,-22.924
105,-23.258
106,-21.540
107,-21.871
108,-24.451
109,-24.935
110,-25.480
111,-25.997
112,-26.215
113,-26.445
114,-23.966
115,-26.945
116,-27.218
117,-27.510
118,-27.823
119,-27.776
120,-28.514
121,-28.825
122,-29.159
123,-29.522
124,-28.150
125,-30.125
126,-30.190
127,-28.496
128,-30.323
129,-30.377
130,-30.181
131,-29.513
132,-29.814
133,-28.520
134,-29.462
135,-29.278
136,-28.750
137,-28.932
138,-28.769
139,-28.721
140,-28.679
141,-28.637
142,-28.595
143,-28.574
144,-28.582
145,-28.589
146,-28.597
147,-28.570
148,-28.629
149,-28.656
150,-28.684
151,-28.711
152,-28.248
153,-28.780
154,-27.078
155,-28.858
156,-28.897
157,-28.806
158,-28.958
159,-28.987
160,-29.017
161,-26.669
162,-27.441
163,-27.588
164,-28.848
165,-29.169
166,-29.244
167,-29.340
168,-29.439
169,-29.540
170,-29.644
171,-29.750
172,-29.859
173,-29.971
174,-30.085
175,-30.197
176,-30.307
177,-29.603
178,-30.535
179,-30.654
180,-30.777
181,-30.903
182,-30.506
183,-29.267
184,-31.052
185,-27.810
186,-29.301
187,-31.525
188,-31.612
189,-31.084
190,-31.790
191,-28.121
192,-30.533
193,-32.053
194,-32.101
195,-31.070
196,-30.898
197,-29.900
198,-29.623
199,-30.039
200,-30.589
201,-32.449
202,-32.050
203,-32.579
204,-32.652
205,-32.726
206,-32.801
207,-32.878
208,-32.956
209,-31.518
210,-29.210
211,-33.197
212,-33.272
213,-31.751
214,-30.801
